year,age,sex,cause,deaths
2005,15,Female,Alcohol-induced,1
2005,15,Female,Cancer,55
2005,15,Female,Chronic lower respiratory disease,1
2005,15,Female,Diabetes,3
2005,15,Female,Drug overdose,18
2005,15,Female,Heart disease,24
2005,15,Female,Homicide,34
2005,15,Female,Other causes,116
2005,15,Female,Other unintentional injury,183
2005,15,Female,Stroke,8
2005,15,Female,Suicide,48
2005,15,Male,Cancer,74
2005,15,Male,Chronic lower respiratory disease,8
2005,15,Male,Diabetes,5
2005,15,Male,Drug overdose,27
2005,15,Male,Heart disease,47
2005,15,Male,Homicide,143
2005,15,Male,Other causes,296
2005,15,Male,Other unintentional injury,301
2005,15,Male,Stroke,3
2005,15,Male,Suicide,130
2005,16,Female,Alcohol-induced,1
2005,16,Female,Cancer,52
2005,16,Female,Chronic lower respiratory disease,1
2005,16,Female,Diabetes,4
2005,16,Female,Drug overdose,19
2005,16,Female,Heart disease,15
2005,16,Female,Homicide,31
2005,16,Female,Other causes,164
2005,16,Female,Other unintentional injury,341
2005,16,Female,Stroke,9
2005,16,Female,Suicide,46
2005,16,Male,Alcohol-induced,6
2005,16,Male,Cancer,75
2005,16,Male,Chronic lower respiratory disease,5
2005,16,Male,Diabetes,5
2005,16,Male,Drug overdose,53
2005,16,Male,Heart disease,38
2005,16,Male,Homicide,228
2005,16,Male,Other causes,290
2005,16,Male,Other unintentional injury,573
2005,16,Male,Stroke,6
2005,16,Male,Suicide,166
2005,17,Female,Alcohol-induced,1
2005,17,Female,Cancer,59
2005,17,Female,Chronic lower respiratory disease,7
2005,17,Female,Diabetes,3
2005,17,Female,Drug overdose,37
2005,17,Female,Heart disease,27
2005,17,Female,Homicide,44
2005,17,Female,Other causes,167
2005,17,Female,Other unintentional injury,402
2005,17,Female,Stroke,6
2005,17,Female,Suicide,63
2005,17,Male,Alcohol-induced,5
2005,17,Male,Cancer,82
2005,17,Male,Chronic lower respiratory disease,10
2005,17,Male,Diabetes,7
2005,17,Male,Drug overdose,86
2005,17,Male,Heart disease,45
2005,17,Male,Homicide,355
2005,17,Male,Other causes,368
2005,17,Male,Other unintentional injury,739
2005,17,Male,Stroke,6
2005,17,Male,Suicide,254
2005,18,Female,Alcohol-induced,2
2005,18,Female,Cancer,54
2005,18,Female,Chronic lower respiratory disease,7
2005,18,Female,Diabetes,11
2005,18,Female,Drug overdose,51
2005,18,Female,Heart disease,21
2005,18,Female,Homicide,66
2005,18,Female,Other causes,172
2005,18,Female,Other unintentional injury,473
2005,18,Female,Stroke,9
2005,18,Female,Suicide,46
2005,18,Male,Alcohol-induced,12
2005,18,Male,Cancer,106
2005,18,Male,Chronic lower respiratory disease,10
2005,18,Male,Diabetes,15
2005,18,Male,Drug overdose,140
2005,18,Male,Heart disease,55
2005,18,Male,Homicide,506
2005,18,Male,Other causes,403
2005,18,Male,Other unintentional injury,983
2005,18,Male,Stroke,9
2005,18,Male,Suicide,324
2005,19,Female,Alcohol-induced,2
2005,19,Female,Cancer,71
2005,19,Female,Chronic lower respiratory disease,1
2005,19,Female,Diabetes,6
2005,19,Female,Drug overdose,75
2005,19,Female,Heart disease,35
2005,19,Female,Homicide,84
2005,19,Female,Other causes,203
2005,19,Female,Other unintentional injury,387
2005,19,Female,Stroke,12
2005,19,Female,Suicide,68
2005,19,Male,Alcohol-induced,10
2005,19,Male,Cancer,108
2005,19,Male,Chronic lower respiratory disease,10
2005,19,Male,Diabetes,8
2005,19,Male,Drug overdose,243
2005,19,Male,Heart disease,84
2005,19,Male,Homicide,586
2005,19,Male,Other causes,457
2005,19,Male,Other unintentional injury,1052
2005,19,Male,Stroke,10
2005,19,Male,Suicide,386
2005,20,Female,Alcohol-induced,1
2005,20,Female,Cancer,66
2005,20,Female,Chronic lower respiratory disease,6
2005,20,Female,Diabetes,5
2005,20,Female,Drug overdose,99
2005,20,Female,Heart disease,31
2005,20,Female,Homicide,87
2005,20,Female,Other causes,228
2005,20,Female,Other unintentional injury,341
2005,20,Female,Stroke,12
2005,20,Female,Suicide,61
2005,20,Male,Alcohol-induced,13
2005,20,Male,Cancer,97
2005,20,Male,Chronic lower respiratory disease,11
2005,20,Male,Diabetes,18
2005,20,Male,Drug overdose,249
2005,20,Male,Heart disease,74
2005,20,Male,Homicide,586
2005,20,Male,Other causes,465
2005,20,Male,Other unintentional injury,1041
2005,20,Male,Stroke,6
2005,20,Male,Suicide,395
2005,21,Female,Alcohol-induced,2
2005,21,Female,Cancer,89
2005,21,Female,Chronic lower respiratory disease,6
2005,21,Female,Diabetes,13
2005,21,Female,Drug overdose,85
2005,21,Female,Heart disease,41
2005,21,Female,Homicide,84
