year,table,population,sex,revision,url,report_pdf,local_file,bytes,sha256
2005,1,Total,Both,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/58_10/Table01_Intercensal.xls,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_10.pdf,data-raw/downloads/national/2005_table01_both.xls,48640,607c21239e553651943a4b5a13639861a95157cde510d32b9c6bc9e9fb41976e
2005,2,Total,Male,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/58_10/Table02_Intercensal.xls,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_10.pdf,data-raw/downloads/national/2005_table02_male.xls,47104,49b75685d23254cee862a001d178b741ce3201f7a786f2ba7ae9a7154151f9cb
2005,3,Total,Female,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/58_10/Table03_Intercensal.xls,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_10.pdf,data-raw/downloads/national/2005_table03_female.xls,48640,cd17477ff9375b0dcbf6c7580f5f6d51d8ab67b7c5141d5da0845e8797e1edf5
2006,1,Total,Both,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/58_21/Table01_Intercensal.xlsx,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_21.pdf,data-raw/downloads/national/2006_table01_both.xlsx,19544,a59983446e54f042a8cf87f60cad9b287f74305d3a4ea549ea8971fad75bef78
2006,2,Total,Male,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/58_21/Table02_Intercensal.xlsx,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_21.pdf,data-raw/downloads/national/2006_table02_male.xlsx,19668,1218dba646d6bea339fd6f623d40bf092d0c36f1af4a8738504d02251369c82a
2006,3,Total,Female,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/58_21/Table03_Intercensal.xlsx,https://www.cdc.gov/nchs/data/nvsr/nvsr58/nvsr58_21.pdf,data-raw/downloads/national/2006_table03_female.xlsx,19647,e8f3fa026defe6cd50dae679beef742094cfbbf6989e69827ce5b8978d326c39
2007,1,Total,Both,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/59_09/Table01_Intercensal.xlsx,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_09.pdf,data-raw/downloads/national/2007_table01_both.xlsx,19498,9a3377492560f2176446393ddb591a0f21b4cbaa4f85ba63be19fbbc9ed1e354
2007,2,Total,Male,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/59_09/Table02_Intercensal.xlsx,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_09.pdf,data-raw/downloads/national/2007_table02_male.xlsx,19641,32b63bedb414e3543aad30ca72d005483fa3c6fbe4b9c8f0825ef6aee5061460
2007,3,Total,Female,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/59_09/Table03_Intercensal.xlsx,https://www.cdc.gov/nchs/data/nvsr/nvsr59/nvsr59_09.pdf,data-raw/downloads/national/2007_table03_female.xlsx,19535,a124c4af4c6ffce5dd0ba7d4a0aa9c63d5ea3ca693b25e65bfccb1096113249c
2008,1,Total,Both,revised intercensal,https://ftp.cdc.gov/pub/Health_Statistics/NCHS/Publications/NVSR/61_03/Table01_Intercensal.xlsx,https://www.cdc.gov/nchs/data/nvsr/nvsr61/nvsr61_03.pdf,data-raw/downloads/national/2008_table01_both.xlsx,20550,50cf43b6c2d3cda1fff40b80b368ed81d317f29b01c9c2915ed4b6e0f969364a
