year,age,sex,cause,deaths,total_deaths,share,mx,cause_mx
2005,15,Female,Alcohol-induced,1,491,0.002036659877800407,2.755314948403911e-4,5.611639406117944e-7
2005,15,Female,Cancer,55,491,0.1120162932790224,2.755314948403911e-4,3.0864016733648695e-5
2005,15,Female,Chronic lower respiratory disease,1,491,0.002036659877800407,2.755314948403911e-4,5.611639406117944e-7
2005,15,Female,Diabetes,3,491,0.006109979633401222,2.755314948403911e-4,1.6834918218353834e-6
2005,15,Female,Drug overdose,18,491,0.03665987780040733,2.755314948403911e-4,1.01009509310123e-5
2005,15,Female,Heart disease,24,491,0.048879837067209775,2.755314948403911e-4,1.3467934574683067e-5
2005,15,Female,Homicide,34,491,0.06924643584521385,2.755314948403911e-4,1.9079573980801014e-5
2005,15,Female,Other causes,116,491,0.23625254582484725,2.755314948403911e-4,6.509501711096816e-5
2005,15,Female,Other unintentional injury,183,491,0.3727087576374745,2.755314948403911e-4,1.0269300113195838e-4
2005,15,Female,Stroke,8,491,0.016293279022403257,2.755314948403911e-4,4.489311524894355e-6
2005,15,Female,Suicide,48,491,0.09775967413441955,2.755314948403911e-4,2.6935869149366135e-5
2005,15,Male,Cancer,74,1034,0.07156673114119923,5.932759359788145e-4,4.245881940273914e-5
2005,15,Male,Chronic lower respiratory disease,8,1034,0.007736943907156673,5.932759359788145e-4,4.590142638133962e-6
2005,15,Male,Diabetes,5,1034,0.004835589941972921,5.932759359788145e-4,2.868839148833726e-6
2005,15,Male,Drug overdose,27,1034,0.02611218568665377,5.932759359788145e-4,1.549173140370212e-5
2005,15,Male,Heart disease,47,1034,0.045454545454545456,5.932759359788145e-4,2.6967087999037024e-5
2005,15,Male,Homicide,143,1034,0.13829787234042554,5.932759359788145e-4,8.204879965664457e-5
2005,15,Male,Other causes,296,1034,0.2862669245647969,5.932759359788145e-4,1.6983527761095656e-4
2005,15,Male,Other unintentional injury,301,1034,0.2911025145067698,5.932759359788145e-4,1.727041167597903e-4
2005,15,Male,Stroke,3,1034,0.0029013539651837525,5.932759359788145e-4,1.7213034893002357e-6
2005,15,Male,Suicide,130,1034,0.12572533849129594,5.932759359788145e-4,7.458981786967688e-5
2005,16,Female,Alcohol-induced,1,683,0.0014641288433382138,3.329121896837119e-4,4.874263392148051e-7
2005,16,Female,Cancer,52,683,0.07613469985358712,3.329121896837119e-4,2.534616963916987e-5
2005,16,Female,Chronic lower respiratory disease,1,683,0.0014641288433382138,3.329121896837119e-4,4.874263392148051e-7
2005,16,Female,Diabetes,4,683,0.005856515373352855,3.329121896837119e-4,1.9497053568592206e-6
2005,16,Female,Drug overdose,19,683,0.027818448023426062,3.329121896837119e-4,9.261100445081299e-6
2005,16,Female,Heart disease,15,683,0.021961932650073207,3.329121896837119e-4,7.311395088222078e-6
2005,16,Female,Homicide,31,683,0.04538799414348463,3.329121896837119e-4,1.511021651565896e-5
2005,16,Female,Other causes,164,683,0.24011713030746706,3.329121896837119e-4,7.993791963122805e-5
2005,16,Female,Other unintentional injury,341,683,0.4992679355783309,3.329121896837119e-4,1.6621238167224855e-4
2005,16,Female,Stroke,9,683,0.013177159590043924,3.329121896837119e-4,4.386837052933247e-6
2005,16,Female,Suicide,46,683,0.06734992679355783,3.329121896837119e-4,2.242161160388104e-5
2005,16,Male,Alcohol-induced,6,1445,0.004152249134948097,7.537839881175233e-4,3.1298989125987127e-6
2005,16,Male,Cancer,75,1445,0.05190311418685121,7.537839881175233e-4,3.9123736407483906e-5
2005,16,Male,Chronic lower respiratory disease,5,1445,0.0034602076124567475,7.537839881175233e-4,2.6082490938322607e-6
2005,16,Male,Diabetes,5,1445,0.0034602076124567475,7.537839881175233e-4,2.6082490938322607e-6
2005,16,Male,Drug overdose,53,1445,0.03667820069204152,7.537839881175233e-4,2.7647440394621962e-5
2005,16,Male,Heart disease,38,1445,0.02629757785467128,7.537839881175233e-4,1.982269311312518e-5
2005,16,Male,Homicide,228,1445,0.15778546712802768,7.537839881175233e-4,1.1893615867875109e-4
2005,16,Male,Other causes,290,1445,0.20069204152249134,7.537839881175233e-4,1.512784474422711e-4
2005,16,Male,Other unintentional injury,573,1445,0.3965397923875433,7.537839881175233e-4,2.9890534615317706e-4
2005,16,Male,Stroke,6,1445,0.004152249134948097,7.537839881175233e-4,3.1298989125987127e-6
2005,16,Male,Suicide,166,1445,0.11487889273356401,7.537839881175233e-4,8.659386991523105e-5
2005,17,Female,Alcohol-induced,1,816,0.0012254901960784314,3.802414999561269e-4,4.659822303383908e-7
2005,17,Female,Cancer,59,816,0.07230392156862746,3.802414999561269e-4,2.7492951589965063e-5
2005,17,Female,Chronic lower respiratory disease,7,816,0.00857843137254902,3.802414999561269e-4,3.261875612368736e-6
2005,17,Female,Diabetes,3,816,0.003676470588235294,3.802414999561269e-4,1.3979466910151725e-6
2005,17,Female,Drug overdose,37,816,0.04534313725490196,3.802414999561269e-4,1.724134252252046e-5
2005,17,Female,Heart disease,27,816,0.03308823529411765,3.802414999561269e-4,1.2581520219136552e-5
2005,17,Female,Homicide,44,816,0.05392156862745098,3.802414999561269e-4,2.0503218134889197e-5
2005,17,Female,Other causes,167,816,0.20465686274509803,3.802414999561269e-4,7.781903246651127e-5
2005,17,Female,Other unintentional injury,402,816,0.49264705882352944,3.802414999561269e-4,1.8732485659603312e-4
2005,17,Female,Stroke,6,816,0.007352941176470588,3.802414999561269e-4,2.795893382030345e-6
2005,17,Female,Suicide,63,816,0.07720588235294118,3.802414999561269e-4,2.9356880511318624e-5
2005,17,Male,Alcohol-induced,5,1957,0.0025549310168625446,9.082122375346169e-4,2.320419615571326e-6
2005,17,Male,Cancer,82,1957,0.04190086867654573,9.082122375346169e-4,3.805488169536974e-5
2005,17,Male,Chronic lower respiratory disease,10,1957,0.005109862033725089,9.082122375346169e-4,4.640839231142652e-6
2005,17,Male,Diabetes,7,1957,0.0035769034236075624,9.082122375346169e-4,3.248587461799856e-6
2005,17,Male,Drug overdose,86,1957,0.04394481349003577,9.082122375346169e-4,3.99112173878268e-5
2005,17,Male,Heart disease,45,1957,0.022994379151762903,9.082122375346169e-4,2.0883776540141932e-5
2005,17,Male,Homicide,355,1957,0.18140010219724068,9.082122375346169e-4,1.6474979270556412e-4
2005,17,Male,Other causes,368,1957,0.1880429228410833,9.082122375346169e-4,1.7078288370604957e-4
2005,17,Male,Other unintentional injury,739,1957,0.3776188042922841,9.082122375346169e-4,3.4295801918144195e-4
2005,17,Male,Stroke,6,1957,0.0030659172202350538,9.082122375346169e-4,2.784503538685591e-6
2005,17,Male,Suicide,254,1957,0.12979049565661727,9.082122375346169e-4,1.1787731647102335e-4
2005,18,Female,Alcohol-induced,2,912,0.0021929824561403508,4.1130265799533763e-4,9.019795131476702e-7
2005,18,Female,Cancer,54,912,0.05921052631578947,4.1130265799533763e-4,2.4353446854987094e-5
2005,18,Female,Chronic lower respiratory disease,7,912,0.007675438596491228,4.1130265799533763e-4,3.1569282960168457e-6
2005,18,Female,Diabetes,11,912,0.01206140350877193,4.1130265799533763e-4,4.9608873223121865e-6
2005,18,Female,Drug overdose,51,912,0.05592105263157895,4.1130265799533763e-4,2.3000477585265592e-5
2005,18,Female,Heart disease,21,912,0.023026315789473683,4.1130265799533763e-4,9.470784888050537e-6
2005,18,Female,Homicide,66,912,0.07236842105263158,4.1130265799533763e-4,2.976532393387312e-5
2005,18,Female,Other causes,172,912,0.18859649122807018,4.1130265799533763e-4,7.757023813069964e-5
2005,18,Female,Other unintentional injury,473,912,0.518640350877193,4.1130265799533763e-4,2.13318154859424e-4
2005,18,Female,Stroke,9,912,0.009868421052631578,4.1130265799533763e-4,4.058907809164516e-6
2005,18,Female,Suicide,46,912,0.05043859649122807,4.1130265799533763e-4,2.0745528802396415e-5
2005,18,Male,Alcohol-induced,12,2563,0.0046820132657042525,0.001047948810792212,4.906510233908132e-6
