year,population,sex,table,age_label,age,qx,lx,dx,Lx,Tx,ex,open_interval,mx,revision
2005,Total,Both,1,0-1,0,0.00687851617112756,100000,687.851623535156,,,77.5723266601562,FALSE,0.006902254806780401,revised intercensal
2005,Total,Both,1,1-2,1,4.72482584882528e-4,99312.1484375,46.9232597351074,,,77.1087341308594,FALSE,4.7259423115449627e-4,revised intercensal
2005,Total,Both,1,2-3,2,3.13134485622868e-4,99265.2265625,31.083366394043,,,76.1449508666992,FALSE,3.131835199030732e-4,revised intercensal
2005,Total,Both,1,3-4,3,2.24157090997323e-4,99234.140625,22.2440357208252,,,75.1686477661133,FALSE,2.241822170141326e-4,revised intercensal
2005,Total,Both,1,4-5,4,1.8749650917016e-4,99211.8984375,18.6018848419189,,,74.1853866577148,FALSE,1.8751408828864718e-4,revised intercensal
2005,Total,Both,1,5-6,5,1.74853019416332e-4,99193.296875,17.3442478179932,,,73.1992034912109,FALSE,1.7486830754211898e-4,revised intercensal
2005,Total,Both,1,6-7,6,1.61986303282902e-4,99175.953125,16.0651454925537,,,72.2119140625,FALSE,1.6199942412682613e-4,revised intercensal
2005,Total,Both,1,7-8,7,1.49798695929348e-4,99159.890625,14.854022026062,,,71.2235336303711,FALSE,1.4980991659441957e-4,revised intercensal
2005,Total,Both,1,8-9,8,1.33128385641612e-4,99145.0390625,13.1990194320679,,,70.2341232299805,FALSE,1.331372478150472e-4,revised intercensal
2005,Total,Both,1,9-10,9,1.13660687929951e-4,99131.84375,11.2673931121826,,,69.243408203125,FALSE,1.1366714767305077e-4,revised intercensal
2005,Total,Both,1,10-11,10,9.956874419003732e-5,99120.578125,9.86931133270264,,,68.251220703125,FALSE,9.95737014042389e-5,revised intercensal
2005,Total,Both,1,11-12,11,1.03633108665235e-4,99110.7109375,10.2711515426636,,,67.2579650878906,FALSE,1.036384788541055e-4,revised intercensal
2005,Total,Both,1,12-13,12,1.3993147877045e-4,99100.4375,13.8672704696655,,,66.264892578125,FALSE,1.399412698648666e-4,revised intercensal
2005,Total,Both,1,13-14,13,2.16225918848068e-4,99086.5703125,21.425085067749,,,65.2740936279297,FALSE,2.1624929819966975e-4,revised intercensal
2005,Total,Both,1,14-15,14,3.22013249387965e-4,99065.1484375,31.9002895355225,,,64.2881011962891,FALSE,3.2206510400329227e-4,revised intercensal
2005,Total,Both,1,15-16,15,4.38667804701254e-4,99033.25,43.442699432373,,,63.3086471557617,FALSE,4.3876404053047466e-4,revised intercensal
2005,Total,Both,1,16-17,16,5.49180433154106e-4,98989.8046875,54.3632621765137,,,62.3362083435059,FALSE,5.493312741476468e-4,revised intercensal
2005,Total,Both,1,17-18,17,6.51731854304671e-4,98935.4453125,64.479377746582,,,61.3701858520508,FALSE,6.519443007386829e-4,revised intercensal
2005,Total,Both,1,18-19,18,7.38647475373e-4,98870.96875,73.0307922363281,,,60.4098815917969,FALSE,7.389203762081939e-4,revised intercensal
2005,Total,Both,1,19-20,19,8.114269003272059e-4,98797.9375,80.1673049926758,,,59.4541664123535,FALSE,8.117562407523334e-4,revised intercensal
2005,Total,Both,1,20-21,20,8.8658748427406e-4,98717.7734375,87.5219421386719,,,58.5020370483398,FALSE,8.869806772576847e-4,revised intercensal
2005,Total,Both,1,21-22,21,9.597428725101052e-4,98630.25,94.6596832275391,,,57.5535087585449,FALSE,9.602036468131988e-4,revised intercensal
2005,Total,Both,1,22-23,22,0.0010084758978337,98535.59375,99.3707733154297,,,56.6083145141602,FALSE,0.0010089846661922692,revised intercensal
2005,Total,Both,1,23-24,23,0.00102548068389297,98436.2265625,100.944450378418,,,55.6649551391602,FALSE,0.0010260067589493932,revised intercensal
2005,Total,Both,1,24-25,24,0.00101882836315781,98335.28125,100.18677520752,,,54.7215843200684,FALSE,0.0010193476332981712,revised intercensal
2005,Total,Both,1,25-26,25,0.00100352906156331,98235.09375,98.5817718505859,,,53.7768859863281,FALSE,0.0010040328496349964,revised intercensal
2005,Total,Both,1,26-27,26,9.93097550235689e-4,98136.515625,97.45913696289061,,,52.8304023742676,FALSE,9.935909165882891e-4,revised intercensal
2005,Total,Both,1,27-28,27,9.894698159769182e-4,98039.0546875,97.0066833496094,,,51.8824195861816,FALSE,9.899595835403934e-4,revised intercensal
2005,Total,Both,1,28-29,28,9.99259995296597e-4,97942.046875,97.8695678710938,,,50.9333152770996,FALSE,9.99759505135797e-4,revised intercensal
2005,Total,Both,1,29-30,29,0.00102123222313821,97844.1796875,99.921630859375,,,49.9837608337402,FALSE,0.001021753947165692,revised intercensal
2005,Total,Both,1,30-31,30,0.00105150497984141,97744.2578125,102.77857208252,,,49.0343475341797,FALSE,0.0010520581020080821,revised intercensal
2005,Total,Both,1,31-32,31,0.00108632468618453,97641.4765625,106.070343017578,,,48.0854377746582,FALSE,0.0010869150575139115,revised intercensal
2005,Total,Both,1,32-33,32,0.00113800738472492,97535.40625,110.99600982666,,,47.1371841430664,FALSE,0.001138655283785722,revised intercensal
2005,Total,Both,1,33-34,33,0.00117168237920851,97424.4140625,114.150466918945,,,46.190315246582,FALSE,0.0011723692013760995,revised intercensal
2005,Total,Both,1,34-35,34,0.00122572889085859,97310.265625,119.276000976562,,,45.2439155578613,FALSE,0.0012264805571850991,revised intercensal
2005,Total,Both,1,35-36,35,0.00128704553935677,97190.9921875,125.089233398438,,,44.2988204956055,FALSE,0.0012878743158034735,revised intercensal
2005,Total,Both,1,36-37,36,0.00136558164376765,97065.90625,132.551422119141,,,43.3552627563477,FALSE,0.001366514687454213,revised intercensal
2005,Total,Both,1,37-38,37,0.00147408235352486,96933.3515625,142.887741088867,,,42.4138679504395,FALSE,0.0014751696142732882,revised intercensal
2005,Total,Both,1,38-39,38,0.00161655514966697,96790.4609375,156.46711730957,,,41.4757461547852,FALSE,0.001617862831913162,revised intercensal
2005,Total,Both,1,39-40,39,0.00178337085526437,96633.9921875,172.334243774414,,,40.5420951843262,FALSE,0.001784962480296921,revised intercensal
2005,Total,Both,1,40-41,40,0.00195796880871058,96461.65625,188.868911743164,,,39.6136322021484,FALSE,0.0019598875080152176,revised intercensal
2005,Total,Both,1,41-42,41,0.00213590869680047,96272.7890625,205.6298828125,,,38.6903648376465,FALSE,0.002138192188445836,revised intercensal
2005,Total,Both,1,42-43,42,0.00232718023471534,96067.15625,223.565582275391,,,37.7721138000488,FALSE,0.0023298912731753245,revised intercensal
2005,Total,Both,1,43-44,43,0.00253582443110645,95843.59375,243.042526245117,,,36.8590507507324,FALSE,0.0025390437156493453,revised intercensal
2005,Total,Both,1,44-45,44,0.00276257982477546,95600.5546875,264.104156494141,,,35.9514846801758,FALSE,0.0027664010266071314,revised intercensal
