year,state,population,sex,table,age_label,age,qx,lx,dx,Lx,Tx,ex,open_interval,mx
2019,AK,Total,Both,1,0–1,0,0.004865669179707766,100000,486.5669250488282,,,77.708526611328125,FALSE,0.004877535416582464
2019,AK,Total,Both,1,1–2,1,4.95468673761934e-4,99513.4296875,49.3057861328125,,,77.0876693725586,FALSE,4.955914487808616e-4
2019,AK,Total,Both,1,2–3,2,5.802830564789474e-4,99464.125,57.71734619140625,,,76.12562561035156,FALSE,5.80451469555393e-4
2019,AK,Total,Both,1,3–4,3,4.7772258403711026e-4,99406.40625,47.48868560791016,,,75.16954040527344,FALSE,4.778367207335986e-4
2019,AK,Total,Both,1,4–5,4,1.9050310947932303e-4,99358.9140625,18.92818260192871,,,74.205230712890625,FALSE,1.905212569252561e-4
2019,AK,Total,Both,1,5–6,5,1.504670799477026e-4,99339.984375,14.947397232055664,,,73.21927642822266,FALSE,1.504784009704972e-4
2019,AK,Total,Both,1,6–7,6,9.993254934670405e-5,99325.0390625,9.925804138183594,,,72.23021697998047,FALSE,9.993754285342045e-5
2019,AK,Total,Both,1,7–8,7,7.739895954728127e-5,99315.109375,7.686886310577392,,,71.23738861083984,FALSE,7.740195496267178e-5
2019,AK,Total,Both,1,8–9,8,7.263541192514822e-5,99307.421875,7.213235378265381,,,70.24286651611328,FALSE,7.263804997248881e-5
2019,AK,Total,Both,1,9–10,9,8.290164987556636e-5,99300.2109375,8.23215103149414,,,69.24793243408203,FALSE,8.290508635978752e-5
2019,AK,Total,Both,1,10–11,10,1.1362758959876372e-4,99291.9765625,11.282307624816896,,,68.253631591796875,FALSE,1.1363404558011153e-4
2019,AK,Total,Both,1,11–12,11,1.779488229658455e-4,99280.6953125,17.66688346862793,,,67.2613296508789,FALSE,1.7796465726649055e-4
2019,AK,Total,Both,1,12–13,12,2.9379629995673895e-4,99263.03125,29.163110733032227,,,66.2732162475586,FALSE,2.9383946443045444e-4
