age,cause,mx_2005,mx_2023,from_year,to_year,change,age_band
20,Alcohol-induced,3.1905779757470676e-6,2.4486076103944955e-6,2005,2023,-7.419703653525722e-7,20–29
20,Cancer,3.7147443574769426e-5,3.0941496167712264e-5,2005,2023,-6.205947407057163e-6,20–29
20,Chronic lower respiratory disease,3.874273256264295e-6,2.8938089941025854e-6,2005,2023,-9.8046426216171e-7,20–29
20,Diabetes,5.241663817298753e-6,5.787617988205171e-6,2005,2023,5.459541709064175e-7,20–29
20,Drug overdose,7.930865253999852e-5,1.4958766492591827e-4,2005,2023,7.027901238591975e-5,20–29
20,Heart disease,2.3929334818103002e-5,1.847585742388574e-5,2005,2023,-5.4534773942172634e-6,20–29
20,Homicide,1.533756412626983e-4,1.4558085247254546e-4,2005,2023,-7.794788790152837e-6,20–29
20,Other causes,1.5793360979947984e-4,1.2710499504865972e-4,2005,2023,-3.0828614750820125e-5,20–29
20,Other unintentional injury,3.1495562589160337e-4,2.0635084134869975e-4,2005,2023,-1.0860478454290362e-4,20–29
20,Stroke,4.102171683103372e-6,2.0034062266864055e-6,2005,2023,-2.0987654564169666e-6,20–29
20,Suicide,1.0392168263861876e-4,1.2421118605455712e-4,2005,2023,2.0289503415938352e-5,20–29
21,Alcohol-induced,5.460873820738571e-6,4.029461712740849e-6,2005,2023,-1.4314121079977222e-6,20–29
21,Cancer,4.7100036703870174e-5,3.536971947850301e-5,2005,2023,-1.1730317225367161e-5,20–29
21,Chronic lower respiratory disease,4.55072818394881e-6,6.939628505275907e-6,2005,2023,2.3889003213270978e-6,20–29
21,Diabetes,5.688410229936011e-6,7.1634874893170655e-6,2005,2023,1.4750772593810541e-6,20–29
21,Drug overdose,9.237978213416083e-5,1.5826830171709893e-4,2005,2023,6.58885195829381e-5,20–29
21,Heart disease,2.7759441922087736e-5,2.0371167547745408e-5,2005,2023,-7.388274374342329e-6,20–29
21,Homicide,1.6064070489339298e-4,1.4058344197784742e-4,2005,2023,-2.0057262915545564e-5,20–29
21,Other causes,1.7247259817165987e-4,1.4640377556291752e-4,2005,2023,-2.606882260874235e-5,20–29
21,Other unintentional injury,3.237843102879578e-4,2.146807656954708e-4,2005,2023,-1.0910354459248698e-4,20–29
21,Stroke,4.55072818394881e-6,3.1340257765762165e-6,2005,2023,-1.4167024073725931e-6,20–29
21,Suicide,1.158160322814972e-4,1.6005917358942817e-4,2005,2023,4.4243141307930976e-5,20–29
22,Alcohol-induced,5.732867421546984e-6,6.549947966090312e-6,2005,2023,8.170805445433275e-7,20–29
22,Cancer,5.04014594144339e-5,3.9073827521849103e-5,2005,2023,-1.1327631892584795e-5,20–29
22,Chronic lower respiratory disease,4.060781090262447e-6,8.130969888939698e-6,2005,2023,4.070188798677251e-6,20–29
22,Diabetes,5.971736897444775e-6,9.711991811789084e-6,2005,2023,3.740254914344309e-6,20–29
22,Drug overdose,1.034304830637435e-4,1.9717601980678766e-4,2005,2023,9.374553674304417e-5,20–29
22,Heart disease,3.296398767389516e-5,2.5070490490897402e-5,2005,2023,-7.893497182997758e-6,20–29
