from_year,to_year,age,cause,years_contributed,age_band
2005,2023,30,Alcohol-induced,-0.0023160926204468524,30–39
2005,2023,30,Alzheimer disease,0,30–39
2005,2023,30,COVID-19,-2.851646524462126e-4,30–39
2005,2023,30,Cancer,5.186196140485322e-4,30–39
2005,2023,30,Chronic lower respiratory disease,2.3077599976772945e-05,30–39
2005,2023,30,Diabetes,-4.738250821461065e-4,30–39
2005,2023,30,Drug overdose,-0.0167789755868597,30–39
2005,2023,30,Heart disease,6.527371978890528e-4,30–39
2005,2023,30,Homicide,-9.37093317787685e-4,30–39
2005,2023,30,Other causes,-3.575023111110909e-4,30–39
2005,2023,30,Other unintentional injury,2.0283581685731633e-4,30–39
2005,2023,30,Stroke,5.328046118791008e-5,30–39
2005,2023,30,Suicide,-0.003232029869444375,30–39
2005,2023,31,Alcohol-induced,-0.002508797086555603,30–39
2005,2023,31,Alzheimer disease,0,30–39
2005,2023,31,COVID-19,-3.027279922349635e-4,30–39
2005,2023,31,Cancer,4.5542018911959303e-4,30–39
2005,2023,31,Chronic lower respiratory disease,-1.5800596301573933e-5,30–39
2005,2023,31,Diabetes,-4.8492413112199984e-4,30–39
2005,2023,31,Drug overdose,-0.01905042340140284,30–39
2005,2023,31,Heart disease,-1.3008695689364913e-4,30–39
2005,2023,31,Homicide,-0.0010253834731344114,30–39
2005,2023,31,Other causes,-7.28971324683414e-4,30–39
2005,2023,31,Other unintentional injury,0.0013641166731019894,30–39
2005,2023,31,Stroke,1.9091203457577421e-4,30–39
2005,2023,31,Suicide,-0.002916792549534364,30–39
2005,2023,32,Alcohol-induced,-0.0033304683086399223,30–39
2005,2023,32,Alzheimer disease,1.1916044265092296e-5,30–39
2005,2023,32,COVID-19,-2.2526305058079288e-4,30–39
2005,2023,32,Cancer,7.854626628684969e-4,30–39
2005,2023,32,Chronic lower respiratory disease,-6.154063627406003e-5,30–39
2005,2023,32,Diabetes,-2.799502627652828e-4,30–39
2005,2023,32,Drug overdose,-0.018887026556093645,30–39
2005,2023,32,Heart disease,6.870384963519882e-5,30–39
2005,2023,32,Homicide,-0.0010306771087300604,30–39
2005,2023,32,Other causes,-4.4404935956521285e-4,30–39
2005,2023,32,Other unintentional injury,-5.152010514137828e-4,30–39
2005,2023,32,Stroke,1.0120157121917828e-4,30–39
2005,2023,32,Suicide,-0.0022487337575185506,30–39
2005,2023,33,Alcohol-induced,-0.003291329824470779,30–39
2005,2023,33,Alzheimer disease,-9.389341641963256e-6,30–39
2005,2023,33,COVID-19,-3.4740564348112457e-4,30–39
2005,2023,33,Cancer,9.063910863247315e-4,30–39
2005,2023,33,Chronic lower respiratory disease,-3.2554300155140936e-5,30–39
2005,2023,33,Diabetes,-6.202106065629209e-4,30–39
2005,2023,33,Drug overdose,-0.01960332375791296,30–39
2005,2023,33,Heart disease,6.368187624019583e-4,30–39
2005,2023,33,Homicide,-0.0011065832099603767,30–39
2005,2023,33,Other causes,-0.0016804642607581854,30–39
2005,2023,33,Other unintentional injury,3.7299182655914365e-4,30–39
2005,2023,33,Stroke,6.354364993654826e-5,30–39
2005,2023,33,Suicide,-0.002568579141033922,30–39
2005,2023,34,Alcohol-induced,-0.00377422442876707,30–39
2005,2023,34,Alzheimer disease,1.0463734383847623e-5,30–39
2005,2023,34,COVID-19,-2.8501448969109333e-4,30–39
2005,2023,34,Cancer,9.932144546382915e-4,30–39
2005,2023,34,Chronic lower respiratory disease,1.9529095780512762e-5,30–39
2005,2023,34,Diabetes,-4.603503358140415e-4,30–39
2005,2023,34,Drug overdose,-0.017574489305552277,30–39
2005,2023,34,Heart disease,2.2783142815541169e-4,30–39
2005,2023,34,Homicide,-0.0018533564598683938,30–39
2005,2023,34,Other causes,-0.0012219616603559302,30–39
2005,2023,34,Other unintentional injury,-8.948730442455144e-4,30–39
2005,2023,34,Stroke,-1.0620677553419e-4,30–39
2005,2023,34,Suicide,-0.0024275805595195266,30–39
2005,2023,35,Alcohol-induced,-0.0037228844984085185,30–39
2005,2023,35,Alzheimer disease,0,30–39
