year,population,sex,age_min,age_max,centered_age,mortality_at_center,beta,beta_se,beta_ci_low,beta_ci_high,doubling_time,doubling_ci_low,doubling_ci_high,r_squared,rmse_log,n_ages,age_center
2005,Total,Both,30,44,37,0.001580872349716717,0.07167759619264667,0.0032242854911120854,0.06471195087816038,0.07864324150713296,9.670346347790252,8.813817529343277,10.71127003828091,0.9743689210196071,0.05022715176650512,15,37
2005,Total,Male,30,44,37,0.002044300279045955,0.065100274929538,0.003970204769871046,0.05652316898496952,0.07367738087410648,10.647377162541645,9.407869448349896,12.26306297058937,0.9538791931622398,0.061846904708068064,15,37
2005,Total,Female,30,44,37,0.0011163141096409797,0.08497201551320162,0.0017669213715726247,0.08115481396362187,0.08878921706278137,8.157358353495274,7.80665945133667,8.541048234928525,0.9944102606500786,0.02752468047078853,15,37
2006,Total,Both,30,44,37,0.001574725872494838,0.06911747662162857,0.0032354501461584226,0.06212771153631995,0.07610724170693718,10.02853712895882,9.107506263714257,11.156811725710039,0.972302632716184,0.05040107210481848,15,37
2006,Total,Male,30,44,37,0.0020430170047081113,0.060991978299281144,0.003917697157581913,0.05252830815452781,0.06945564844403448,11.364563011200357,9.979709297775326,13.195688285273619,0.9490940122580862,0.06102895362445188,15,37
2006,Total,Female,30,44,37,0.0011036999812131642,0.08541383345194907,0.0017841477845087108,0.08155941649979892,0.08926825040409922,8.1151629958148,7.764767175588285,8.498677532368738,0.9943598306219952,0.027793029430369914,15,37
2007,Total,Both,30,44,37,0.0015392121145327445,0.06707330283110281,0.003087503504194599,0.06040315703392177,0.07374344862828386,10.334173975379716,9.399440810720273,11.475346895704163,0.9731924204379501,0.04809639453834816,15,37
2007,Total,Male,30,44,37,0.0019977356641868644,0.05942971308082074,0.003726179716644971,0.05137979121263354,0.06747963494900794,11.663310230310348,10.271946211382634,13.490657789779235,0.9513797078475045,0.05804554052459182,15,37
2007,Total,Female,30,44,37,0.0010787334128028818,0.0823743037262255,0.0017149745233086507,0.07866932651943728,0.08607928093301373,8.414604424016128,8.05242763469815,8.810895061986903,0.994396815676169,0.026715464835653718,15,37
2008,Total,Both,30,44,37,0.001505589870172046,0.0659785270674862,0.003319002751651132,0.05880825755210534,0.07314879658286708,10.505647994399132,9.475852138930394,11.786562115801551,0.9681509543554948,0.051702634701597645,15,37
2008,Total,Male,30,44,37,0.0019476292422143215,0.05666547756416029,0.003771965588272389,0.04851664133400038,0.06481431379432019,12.232265752549594,10.694353453460263,14.286792356217553,0.9455347876003919,0.05875878193244212,15,37
2008,Total,Female,30,44,37,0.0010600696745823347,0.08410644312396713,0.0022190971788443744,0.07931237513314673,0.08890051111478753,8.24130892728746,7.7968863380882025,8.739458116041979,0.9910313954765526,0.03456856754579649,15,37
2009,Total,Both,30,44,37,0.0015027921438403589,0.06481113136848003,0.0030241687504189386,0.05827781198822071,0.07134445074873935,10.694878579099262,9.71550237314278,11.893843590079296,0.9724745496072997,0.0471097808223006,15,37
2009,Total,Male,30,44,37,0.0019290555032412623,0.057307342291098705,0.0032834030876860445,0.050213981173928626,0.06440070340826878,12.09525957492551,10.763037418484906,13.803868252530256,0.9590718273487703,0.051148071611654175,15,37
2009,Total,Female,30,44,37,0.0010751948587701117,0.07899968951345367,0.002342918900207467,0.07393812095681118,0.08406125807009615,8.774049427648727,8.245738839430059,9.374692940395756,0.9886950291778052,0.036497432842631274,15,37
2010,Total,Both,30,44,37,0.0014464581192502207,0.0594150864880465,0.003084452092447993,0.05275153286516078,0.06607864011093222,11.666181462167811,10.48973131705338,13.139849079489544,0.9661506153354474,0.048048860372617075,15,37
2010,Total,Male,30,44,37,0.0018511637736219467,0.05129024920846388,0.0037508411768957996,0.04318704949452819,0.059393448922399575,13.514209645243108,11.670431556611163,16.04988506213575,0.9349958942980562,0.0584297108811612,15,37
